gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AverageMonthlySpend,Churn,predicted_churn,Churn_Probability,CLV,Priority_Score,Priority_Level,Recommendation_Reason,Retention_Action
Male,0,No,No,22,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.2,2157.3,93.79565217391306,0,1,0.7382877136883484,2050.4,58.87,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,0,No,No,1,No,No phone service,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.4,24.4,12.2,0,1,0.821847841747862,24.4,57.61,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,No,No,6,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),70.55,433.95,61.99285714285714,0,1,0.6806966917632438,423.29999999999995,49.13,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,0,No,No,31,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,78.45,2435.15,76.0984375,1,1,0.5803810340665257,2431.9500000000003,49.16,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Female,0,Yes,Yes,68,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),85.0,5607.75,81.27173913043478,0,0,0.03317038284463814,5780.0,22.6,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Female,0,Yes,Yes,34,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,87.45,2874.15,82.11857142857143,1,1,0.6472626624127845,2973.3,55.74,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Female,0,Yes,Yes,52,Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),85.8,4433.3,83.64716981132077,0,0,0.20810728888556662,4461.599999999999,30.22,Low,Customer uses Fiber internet but currently has low churn priority.,Free Streaming Service Trial
Female,0,No,Yes,10,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,91.1,964.35,87.66818181818182,0,1,0.682304800973991,911.0,50.96,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,0,Yes,Yes,29,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.75,1974.8,65.82666666666667,1,1,0.6431455248347001,2051.75,52.22,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Female,0,Yes,Yes,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.1,1460.85,20.01164383561644,0,0,0.010414683849058099,1447.2,5.81,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Male,0,Yes,Yes,47,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.05,951.55,19.823958333333334,0,0,0.047030267642862285,942.35,6.6,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,Yes,Yes,24,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,No,Mailed check,74.8,1821.2,72.848,0,0,0.23980156153684895,1795.1999999999998,23.09,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,65,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),24.8,1600.95,24.256818181818183,0,0,0.05065130128018329,1612.0,9.2,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Female,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,100.85,399.25,79.85,0,1,0.8782912074270935,403.4,62.9,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,1,Yes,No,12,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,101.35,1218.55,93.73461538461538,1,1,0.8855286055822469,1216.1999999999998,66.25,High,Customer has high monthly charges.,25% Discount
Male,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,81.7,81.7,40.85,1,1,0.9088830192371139,81.7,63.91,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,No,No,33,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Electronic check,68.25,2171.15,63.85735294117647,1,1,0.6053306093124431,2252.25,50.28,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Female,0,No,No,34,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.1,3634.8,103.85142857142856,0,1,0.6742344960154687,3573.3999999999996,59.73,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,Yes,No,14,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.4,292.4,19.49333333333333,0,0,0.07755516605121533,285.59999999999997,6.43,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,79.15,317.25,63.45,1,1,0.891205499535083,316.6,63.5,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.0,218.55,15.610714285714286,0,0,0.13344366747560887,260.0,10.25,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,Yes,Yes,65,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),79.4,5071.9,76.8469696969697,0,0,0.07169067171040959,5161.0,23.13,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Male,0,Yes,Yes,23,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),57.2,1423.35,59.30625,0,0,0.07584175685452485,1315.6000000000001,9.93,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Male,0,Yes,No,55,Yes,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Electronic check,58.6,3068.6,54.79642857142857,0,0,0.04065177004460137,3223.0,14.15,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Male,0,Yes,No,49,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Electronic check,94.8,4690.65,93.813,0,0,0.3412883245316395,4645.2,40.19,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,0,Yes,No,60,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,No,Bank transfer (automatic),102.5,6157.6,100.94426229508196,0,0,0.36077033952595816,6150.0,46.83,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,Yes,Yes,69,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),20.35,1442.65,20.609285714285715,0,0,0.035230085728501115,1404.15,7.39,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Male,0,No,No,40,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,84.9,3369.05,82.1719512195122,0,1,0.761871460715923,3396.0,65.25,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount
Male,0,Yes,No,67,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),69.2,4671.65,68.70073529411764,0,0,0.0348716487387105,4636.400000000001,18.71,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Male,1,No,No,35,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,3474.05,96.5013888888889,1,1,0.831234757367574,3340.75,69.91,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount
Male,0,Yes,Yes,19,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,Yes,One year,Yes,Electronic check,100.95,1875.55,93.7775,1,1,0.6615314573315072,1918.05,53.04,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,Yes,Yes,13,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.85,272.35,19.45357142857143,0,0,0.06082228956481723,271.05,5.21,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,No,Yes,41,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),88.5,3645.05,86.78690476190476,0,1,0.5780959889563667,3628.5,53.2,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Female,0,No,No,4,No,No phone service,DSL,Yes,No,Yes,No,No,No,Month-to-month,No,Mailed check,35.0,135.75,27.15,0,1,0.5069805128039186,140.0,35.98,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,Yes,Yes,24,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Electronic check,55.15,1319.85,52.794,0,0,0.21587516598962758,1323.6,19.76,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,5,No,No phone service,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),50.95,229.4,38.23333333333333,0,1,0.795057916225761,254.75,56.55,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,No,No,5,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,64.0,370.25,61.708333333333336,0,1,0.7500362029861606,320.0,53.63,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,Yes,Yes,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,69.1,69.1,34.55,1,1,0.840990172963501,69.1,59.11,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,No,Bank transfer (automatic),80.2,5714.2,78.27671232876712,0,0,0.01835189191133554,5774.400000000001,21.55,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Female,0,No,No,24,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),49.3,1233.25,49.33,0,0,0.41068661220382846,1183.1999999999998,32.9,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Female,0,Yes,No,42,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),84.35,3571.6,83.06046511627906,0,0,0.07847445759058337,3542.7,17.92,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.05,83.3,16.66,0,0,0.35655709309615236,80.2,25.24,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,68,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Credit card (automatic),117.2,8035.95,116.46304347826089,0,0,0.25364229533269883,7969.6,45.72,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,Yes,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.1,579.4,17.041176470588233,0,0,0.07330613526456768,663.3000000000001,7.46,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.6,69.6,34.8,1,1,0.9129766610646962,69.6,64.15,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,No,No,31,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,103.45,3066.45,95.8265625,1,1,0.7007049653822112,3206.9500000000003,60.3,High,Customer has high monthly charges.,25% Discount
Female,0,No,No,4,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),77.95,305.55,61.11,1,1,0.7621863240854772,311.8,54.45,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,1,Yes,No,69,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Electronic check,109.95,7634.25,109.06071428571428,0,0,0.2563020215935474,7586.55,44.56,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Male,1,No,No,38,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.75,3653.0,93.66666666666669,0,1,0.7673043955135708,3600.5,66.34,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount
Female,0,Yes,Yes,3,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Electronic check,80.0,241.3,60.325,0,1,0.7391158039570126,240.0,52.58,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,Yes,Yes,48,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Two year,No,Electronic check,79.65,3870.3,78.9857142857143,0,0,0.09529788074269348,3823.2000000000003,20.09,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,Yes,No,15,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.2,387.9,24.24375,0,0,0.09897013433794781,378.0,8.25,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,No,No,25,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Credit card (automatic),19.9,527.5,20.28846153846154,0,0,0.11244172556978317,497.49999999999994,9.62,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Female,1,No,No,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Electronic check,78.45,78.45,39.225,1,1,0.9088883247839168,78.45,63.9,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,0,No,No,48,No,No phone service,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,44.8,2104.55,42.95,0,0,0.39422811903987615,2150.3999999999996,35.14,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.3,20.3,10.15,0,0,0.42004289592048316,20.3,29.47,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,1,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.2,19.2,9.6,0,1,0.5133073010594121,19.2,36.0,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,37,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,One year,No,Electronic check,80.05,3019.1,79.45,0,0,0.3117641421338934,2961.85,32.22,Low,Customer uses Fiber internet but currently has low churn priority.,Free Streaming Service Trial
Male,1,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),107.35,7051.95,105.25298507462686,0,0,0.36603723008376704,7085.099999999999,50.48,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,Yes,No,26,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),47.85,1190.5,44.0925925925926,0,0,0.20710084208799495,1244.1000000000001,18.86,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,Yes,No,63,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),70.8,4448.8,69.5125,0,0,0.047974718967941775,4460.4,19.01,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Male,0,No,No,10,No,No phone service,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,29.5,255.25,23.204545454545453,1,1,0.5597648721589107,295.0,40.22,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,No,No,2,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,70.75,146.9,48.96666666666667,1,1,0.789717034533947,141.5,55.78,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,1,Yes,No,18,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),59.1,1011.05,53.21315789473684,0,1,0.5086079764382514,1063.8,39.34,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Female,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,25.55,1714.95,26.383846153846157,0,0,0.023842254203542922,1635.2,7.41,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Female,1,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.45,762.5,76.25,1,1,0.8928702174556387,760.0500000000001,65.17,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,0,No,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.25,535.35,18.46034482758621,0,0,0.15897132208547865,567.0,13.12,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,1,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Electronic check,75.55,75.55,37.775,0,1,0.8650599271172641,75.55,60.82,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,No,No,4,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,85.65,338.9,67.78,1,1,0.9181281339387625,342.6,65.47,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,1,No,No,38,Yes,No,DSL,No,Yes,Yes,Yes,Yes,No,One year,Yes,Credit card (automatic),70.15,2497.35,64.03461538461538,1,0,0.17402844993612976,2665.7000000000003,21.54,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Male,0,Yes,No,66,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,95.3,6273.4,93.63283582089552,0,0,0.3391381621890444,6289.8,45.81,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,0,No,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.25,70.25,35.125,0,1,0.909384084993544,70.25,63.9,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,0,Yes,No,18,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,50.3,908.75,47.828947368421055,0,0,0.39859752833835727,905.4,31.08,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,1,No,No,51,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,97.8,4913.3,94.48653846153846,1,1,0.7903973281280173,4987.8,72.83,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount
Male,0,Yes,Yes,0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,19.85,1397.475,1397.475,0,0,1.1655434879274179e-16,0.0,0.0,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,46.3,46.3,23.15,1,1,0.6219728308600398,46.3,43.7,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,0,No,Yes,12,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),19.35,212.3,16.33076923076923,0,0,0.06782444988857653,232.20000000000002,5.56,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,No,No,41,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.3,4443.45,105.79642857142856,1,1,0.7671979013617319,4358.3,69.0,High,Customer has high monthly charges.,25% Discount
Male,0,No,No,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,25.0,316.2,24.32307692307692,0,0,0.44149193511834584,300.0,31.96,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,Yes,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.3,1079.05,19.26875,0,0,0.01761142483420391,1116.5,5.15,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.35,564.65,70.58125,0,1,0.8445463395824977,527.4499999999999,60.97,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,0,No,No,12,Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.4,1095.65,84.28076923076924,1,1,0.7702551023712548,1072.8000000000002,57.68,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Female,0,Yes,Yes,68,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),88.0,6161.9,89.30289855072463,0,0,0.029686685556385407,5984.0,23.07,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Female,1,No,No,5,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),83.15,446.05,74.34166666666667,1,1,0.8555766746345568,415.75,61.35,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Female,1,No,No,49,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,43.8,2106.05,42.121,0,0,0.21954173348695336,2146.2,22.9,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,40,No,No phone service,DSL,Yes,Yes,Yes,No,Yes,Yes,One year,No,Credit card (automatic),62.05,2511.55,61.25731707317074,0,0,0.18707005943762622,2482.0,21.8,Low,Customer uses automatic payment and currently has low churn priority.,Cashback Reward
Female,0,No,No,16,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),20.1,318.6,18.74117647058824,0,0,0.14728331313634574,321.6,11.44,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,10,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,74.15,811.8,73.8,1,1,0.7680261943755666,741.5,56.36,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,101.35,7323.15,100.31712328767122,0,0,0.48819132346021776,7297.2,59.78,Medium,Customer has relatively high monthly charges.,10% Discount on Monthly Bill
Female,1,No,No,2,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.05,186.05,62.01666666666667,0,1,0.9327809073635197,168.1,65.88,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,Yes,Yes,23,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,20.9,454.0,18.916666666666668,0,0,0.04658454326048149,480.7,4.95,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
Female,1,No,No,71,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,105.9,7521.95,104.47152777777778,0,0,0.48654355818800277,7518.900000000001,60.44,High,Customer has high lifetime value and should be retained.,Premium Support + Free Service Upgrade
Female,0,Yes,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.5,1056.95,88.07916666666667,1,1,0.9032029334981238,1094.5,67.06,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,44.15,44.15,22.075,1,1,0.7154196318891467,44.15,50.23,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Female,0,No,No,16,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,53.9,834.15,49.067647058823525,1,0,0.38800990649025363,862.4,30.19,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,85.45,85.45,42.725,1,1,0.9390448971133513,85.45,66.03,High,Customer is still in the early stage of the relationship.,Welcome Back Offer + Free Installation
Male,0,Yes,No,12,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),85.05,999.8,76.9076923076923,0,1,0.7641540231804127,1020.5999999999999,57.07,Medium,Customer is using a month-to-month contract.,Recommend Annual Contract
Female,0,No,No,54,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,One year,No,Bank transfer (automatic),44.1,2369.7,43.08545454545454,0,0,0.10493951351712413,2381.4,15.7,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,No,No,Two year,No,Credit card (automatic),90.2,6297.65,91.27028985507246,0,0,0.06840363282595321,6133.6,26.31,Low,Customer is highly valuable and currently has low churn priority.,VIP Loyalty Rewards
Female,0,Yes,Yes,4,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,50.85,239.55,47.91,1,0,0.4761822898751787,203.4,34.05,Low,Customer currently has low churn risk.,Regular Promotional Email
Female,0,No,Yes,1,Yes,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,59.2,59.2,29.6,1,1,0.7275146479347968,59.2,51.13,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,0,No,No,27,Yes,No,DSL,Yes,No,No,Yes,No,No,Month-to-month,No,Mailed check,53.45,1461.45,52.19464285714286,0,0,0.19598365628686915,1443.15,18.78,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,19.95,416.4,18.92727272727273,0,0,0.31917208789008056,418.95,23.81,Low,Customer currently has low churn risk.,Regular Promotional Email
Male,0,No,No,13,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,83.2,1060.6,75.75714285714285,1,1,0.8190616858821631,1081.6000000000001,61.13,High,Customer is using a month-to-month contract.,Offer One-Year Contract with Discount
Female,1,No,No,64,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),74.65,4869.35,74.91307692307693,0,0,0.18130607470903265,4777.6,29.45,Low,Customer has been with the company for a long time.,Anniversary Reward Coupon
Female,0,No,No,1,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,54.9,54.9,27.45,1,1,0.6865970986215745,54.9,48.25,Medium,Customer is relatively new.,Welcome Offer + Personalized Email
Male,0,Yes,No,57,No,No phone service,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),57.5,3265.95,56.30948275862069,0,0,0.10736753412538749,3277.5,19.02,Low,"Customer has a long-term contract, which generally indicates stronger retention.",Early Renewal Bonus
